UrusanPemerintahan,Organisasi,KodeRekening,Uraian,Jumlah
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 002,"Penyediaan Operasional RT, RW dan LMK",2.134.995.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 003,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,48.402.914
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 004,Penatausahaan Kelurahan Menteng Atas,39.958.071
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 005,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,39.773.250
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 006,Penanggulangan Bencana Kelurahan Menteng Atas,216.881.650
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 007,Dukungan Pelaksanaan Penanganan Segera di Kelurahan,2.132.147.849
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 008,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Menteng Atas PHL Kebersihan Ketertiban Kesehatan,79.073.920
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 009,Pelaksanaan Kerja Bakti,149.936.314
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 010,Pengadaan sarana dan Prasarana Kelurahan Menteng Atas,102.916.568
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 011,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Menteng Atas,595.354.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 012,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Menteng Atas,256.647.600
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 013,Penyelenggaraan Tugas dan Fungsi Kelurahan Menteng Atas,223.988.920
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 014,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Menteng Atas,104.917.275
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 015,Penyelenggaran Operasional Kelurahan Menteng Atas,303.588.124
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 016,Bimtek dan Pendataan Dasawisma,198.802.600
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 27 017,Pemberian Makanan Tambahan (PMT),54.967.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.248 Kelurahan Menteng Atas - JAKSEL,1.20 248 61 001,Penyediaan Jasa TALI dan IPAL (12 Bulan),239.742.888
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 00 000 5,BELANJA DAERAH,7.629.325.820
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Pasar Manggis PHL Kebersihan Ketertiban Kesehatan,295.455.128
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 002,Pelaksanaan Kerja Bakti,307.226.378
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 003,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Pasar Manggis,374.976.650
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 004,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Pasar Manggis,288.644.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 006,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Pasar Manggis,521.202.840
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 007,"Penyediaan Operasional RT, RW dan LMK",2.089.500.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 008,Penyelenggaraan Tugas dan Fungsi Kelurahan Pasar Manggis,126.675.800
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 009,Pelaksanaan Penertiban Kelurahan Pasar Manggis,24.905.080
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 010,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Pasar Manggis,104.354.700
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 011,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,24.199.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 012,Penanggulangan Bencana Kelurahan Pasar Manggis,59.991.800
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 013,Dukungan Operasional Pekerja Lepas dengan Perjanjian Kerja di Kelurahan,2.573.595.980
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 014,Bimtek dan Pendataan Dasawisma,141.016.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 27 015,Pemberian Makanan Tambahan (PMT),53.538.336
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 61 001,Penyelenggaran Operasional Kelurahan Pasar Manggis,394.299.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 61 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),161.570.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 61 003,Penatausahaan Kelurahan Pasar Manggis,40.672.213
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.249 Kelurahan Pasar Manggis - JAKSEL,1.20 249 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,47.501.415
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 00 000 5,BELANJA DAERAH,5.055.039.428
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Guntur PHL Kebersihan Ketertiban Kesehatan,114.769.904
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 002,Pelaksanaan Kerja Bakti,130.998.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 003,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Guntur,87.224.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 005,Pengadaan sarana dan Prasarana Ketertiban Masyarakat Kelurahan Guntur,100.998.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 006,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Guntur,544.859.950
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 007,"Penyediaan Operasional RT, RW dan LMK",378.300.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 008,Penyelenggaraan Tugas dan Fungsi Kelurahan Guntur,275.999.705
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 009,Pelaksanaan Penertiban Kelurahan Guntur,59.996.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 010,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Guntur,59.999.400
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 011,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,12.200.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 012,Penanggulangan Bencana Kelurahan Guntur,39.997.375
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 27 013,Dukungan Operasional Pekerja Lepas dengan Perjanjian Kerja di Kelurahan,2.605.117.159
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 61 002,Penyelenggaran Operasional Kelurahan Guntur,425.719.127
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 61 003,Penyediaan Jasa TALI dan IPAL (12 Bulan),175.247.208
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.250 Kelurahan Guntur - JAKSEL,1.20 250 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,43.612.800
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 00 000 5,BELANJA DAERAH,4.682.428.247
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 001,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Setiabudi PHL Kebersihan Ketertiban Kesehatan,124.889.024
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 002,Pelaksanaan Kerja Bakti,127.268.600
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 003,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Setiabudi,182.558.100
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 004,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Setiabudi,11.681.137
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 005,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Setiabudi,170.310.215
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 006,"Penyediaan Operasional RT, RW dan LMK",333.040.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 007,Penyelenggaraan Tugas dan Fungsi Kelurahan Setiabudi,289.614.997
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 008,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Setiabudi,159.832.850
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 009,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,29.942.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 010,Penanggulangan Bencana Kelurahan Setiabudi,39.905.670
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 011,Dukungan Operasional Pekerja Lepas dengan Perjanjian Kerja di Kelurahan,2.329.984.182
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 012,Bimtek dan Pendataan Dasawisma,109.797.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 27 013,Pemberian Makanan Tambahan (PMT),54.820.800
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 61 001,Penyelenggaran Operasional Kelurahan Setiabudi,419.215.972
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 61 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),242.934.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 61 003,Penatausahaan Kelurahan Setiabudi,8.255.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.251 Kelurahan Setiabudi - JAKSEL,1.20 251 63 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,48.378.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 00 000 5,BELANJA DAERAH,6.277.331.812
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 01 010,Penyelenggaran Operasional Kecamatan Tebet,1.020.833.143
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 01 011,Penyediaan Jasa TALI dan IPAL (12 Bulan),755.987.088
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 01 012,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,37.522.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 01 013,Penatausahaan Kecamatan Tebet,131.884.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 01 014,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,39.763.325
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 001,Pengadaan sarana dan Prasarana Kecamatan Tebet,225.874.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 002,Penanganan Ketertiban Masyarakat Kecamatan Tebet,89.480.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 003,Penanganan Saluran Kecamatan Tebet,1.339.221.954
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 004,Penanganan Jalan Kecamatan Tebet,1.498.645.680
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 005,Penanganan Kebersihan Lingkungan Kecamatan Tebet,18.720.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 006,Penanganan Penerangan Jalan Umum Kecamatan Tebet,99.772.588
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 007,Penanganan Pertamanan Kecamatan Tebet,184.960.133
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 008,Penyelenggaraan Tugas dan Fungsi Kecamatan Tebet,596.071.750
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 009,Penanggulangan Bencana Kecamatan Tebet,68.655.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.252 Kecamatan Tebet - JAKSEL,1.20 252 26 010,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kecamatan Tebet,169.940.151
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 00 000 5,BELANJA DAERAH,8.806.313.508
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 003,Penyelenggaraan peningkatan Pelayanan Kapasitas Kelurahan Menteng Dalam PHL Kebersihan Ketertiban Kesehatan,149.869.200
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 004,Pelaksanaan Kerja Bakti,110.526.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 009,Pengadaan sarana dan Prasarana Kelurahan Menteng Dalam,11.887.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 010,Pengadaan sarana dan Prasarana Kesehatan Masyarakat Kelurahan Menteng Dalam,161.091.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 011,Pengadaan sarana dan Prasarana Kebersihan Masyarakat Kelurahan Menteng Dalam,363.104.840
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 012,Pembinaan Masyarakat dan Lembaga Kemasyarakatan Kelurahan Menteng Dalam,511.850.250
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 013,"Penyediaan Operasional RT, RW dan LMK",1.997.431.250
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 014,Penyelenggaraan Tugas dan Fungsi Kelurahan Menteng Dalam,209.669.050
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 015,Penyelenggaraan Koordinasi Pelaksanaan Tugas dan Fungsi Kelurahan Menteng Dalam,111.079.375
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 016,Penyelenggaraan dan Partisipasi Kegiatan Kemasyarakatan,78.795.000
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 017,Dukungan Operasional Pekerja Lepas dengan Perjanjian Kerja di Kelurahan,4.035.122.736
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 018,Bimtek dan Pendataan Dasawisma,199.729.500
1.20 Otonomi Daerah. Pemerintahan Umum. Administrasi Keuangan Daerah. Perangkat Daerah. Kepegawaian. dan Persandian,1.20.253 Kelurahan Menteng Dalam - JAKSEL,1.20 253 27 019,Pemberian Makanan Tambahan (PMT),54.895.665
